ds;yhat;yhat_upper
2021-10-22 00:00:00;4.827324994702389;7.29090520819947
2021-10-22 00:30:00;4.830479315151107;7.303930766226279
2021-10-22 01:00:00;4.883269521069399;7.164463468275065
2021-10-22 01:30:00;4.919480672398102;7.170637683128817
2021-10-22 02:00:00;4.870087940204882;7.452870792895022
2021-10-22 02:30:00;4.684112423455073;7.048569614263378
2021-10-22 03:00:00;4.344553710049648;6.692581628897681
2021-10-22 03:30:00;3.875162716359845;6.124119119902041
2021-10-22 04:00:00;3.33631454671007;5.377667012664931
2021-10-22 04:30:00;2.8111665147482636;5.166443666517679
2021-10-22 05:00:00;2.385855872647369;4.801506214490986
2021-10-22 05:30:00;2.12902301673578;4.240682564583419
2021-10-22 06:00:00;2.076041530886592;4.341443547008569
2021-10-22 06:30:00;2.2219880818051596;4.4006990888949815
2021-10-22 07:00:00;2.5249729628262267;4.570538936762236
2021-10-22 07:30:00;2.9186394215672644;5.34550309775442
2021-10-22 08:00:00;3.3301927633299226;5.654413444968552
2021-10-22 08:30:00;3.698899536898551;6.007303867763099
2021-10-22 09:00:00;3.9899804546479913;6.498378504103116
2021-10-22 09:30:00;4.200201155409929;6.6131369560048965
2021-10-22 10:00:00;4.353854325497896;6.625536272011073
2021-10-22 10:30:00;4.4905621502262685;6.747251721728627
2021-10-22 11:00:00;4.648652866856295;6.894574625565491
2021-10-22 11:30:00;4.849135126477605;7.107763395501532
2021-10-22 12:00:00;5.085153190312038;7.177423206906298
2021-10-22 12:30:00;5.320285230891704;7.584653561609916
2021-10-22 13:00:00;5.496556230109341;7.831434589558609
2021-10-22 13:30:00;5.550255823965969;7.883923274803564
2021-10-22 14:00:00;5.431345648519196;7.789464254912955
2021-10-22 14:30:00;5.121054220454749;7.457827160750733
2021-10-22 15:00:00;4.642536217791362;6.951773513913541
2021-10-22 15:30:00;4.06116883480243;6.601036856914403
2021-10-22 16:00:00;3.4737371538219364;5.841400535213175
2021-10-22 16:30:00;2.988717778252627;5.305561876639009
2021-10-22 17:00:00;2.7023152638326735;5.044671561848482
2021-10-22 17:30:00;2.676175883585373;5.181951595864445
2021-10-22 18:00:00;2.9224402949652486;5.235375255049734
2021-10-22 18:30:00;3.4000470293644263;5.727880582457349
2021-10-22 19:00:00;4.0234035722526755;6.40715696312975
2021-10-22 19:30:00;4.681422877104358;6.950054535834664
2021-10-22 20:00:00;5.262293067843247;7.581930502676031
2021-10-22 20:30:00;5.6778956227647885;8.045436918889168
2021-10-22 21:00:00;5.881894938255993;8.148853036803482
2021-10-22 21:30:00;5.877164010308309;8.157146197580504
2021-10-22 22:00:00;5.71095910420642;7.856245786240667
2021-10-22 22:30:00;5.4593932207199956;7.819698088569721
2021-10-22 23:00:00;5.205466078250114;7.444784106248901
2021-10-22 23:30:00;5.016484713573089;7.408532543098448
2021-10-23 00:00:00;4.926751249548815;7.306140499801325
2021-10-23 00:30:00;4.929905570012273;7.1390816265773775
2021-10-23 01:00:00;4.982695775944805;7.249945648680703
2021-10-23 01:30:00;5.0189069272712015;7.409089329239799
2021-10-23 02:00:00;4.969514195082266;7.148307240668811
2021-10-23 02:30:00;4.7835386783406815;7.069454736104493
2021-10-23 03:00:00;4.443979964946068;6.838485977040861
2021-10-23 03:30:00;3.97458897127088;6.278659588092009
2021-10-23 04:00:00;3.4357408016414013;5.678109770192811
2021-10-23 04:30:00;2.91059276970592;5.345350094198725
2021-10-23 05:00:00;2.4852821276615784;4.644700398839681
2021-10-23 05:30:00;2.2284492717370323;4.6182196839373715
2021-10-23 06:00:00;2.175467785908456;4.547012565735844
2021-10-23 06:30:00;2.3214143368054647;4.7541568099581974
2021-10-23 07:00:00;2.624399217888125;4.877016762125159
2021-10-23 07:30:00;3.018065676647061;5.4178851813988596
2021-10-23 08:00:00;3.429619018384378;5.6442979913941675
2021-10-23 08:30:00;3.7983257920095848;6.124575432894852
2021-10-23 09:00:00;4.08940670974437;6.610992800145053
2021-10-23 09:30:00;4.299627410527082;6.583044719735223
2021-10-23 10:00:00;4.45328058063367;6.741540358185818
2021-10-23 10:30:00;4.589988405376282;6.884417369264539
2021-10-23 11:00:00;4.748079122017825;7.227598864828507
2021-10-23 11:30:00;4.948561381661565;7.44087721819965
2021-10-23 12:00:00;5.184579445507068;7.496490677078706
2021-10-23 12:30:00;5.419711486098243;7.792809098695209
2021-10-23 13:00:00;5.595982485349387;7.804837911105923
2021-10-23 13:30:00;5.649682079201915;7.941019868672123
2021-10-23 14:00:00;5.530771903765281;7.966035177667125
2021-10-23 14:30:00;5.220480475732902;7.647144578521163
2021-10-23 15:00:00;4.741962473091823;7.2622640366122155
2021-10-23 15:30:00;4.160595090083661;6.6435867828709565
2021-10-23 16:00:00;3.5731634091643185;5.866645859472868
2021-10-23 16:30:00;3.08814403359309;5.36131793652462
2021-10-23 17:00:00;2.8017415191414106;5.2021210519327195
2021-10-23 17:30:00;2.7756021389061023;5.013516212322038
2021-10-23 18:00:00;3.021866550275768;5.365529162565384
2021-10-23 18:30:00;3.4994732847381966;5.764912485626361
2021-10-23 19:00:00;4.122829827580479;6.360218070877684
2021-10-23 19:30:00;4.7808491324936355;7.0174607949701375
2021-10-23 20:00:00;5.36171932322889;7.642123964414026
2021-10-23 20:30:00;5.777321878107771;8.168954158000805
2021-10-23 21:00:00;5.981321193623588;8.248119690176715
2021-10-23 21:30:00;5.976590265669414;8.274741895559265
2021-10-23 22:00:00;5.810385359574148;8.140548275784662
2021-10-23 22:30:00;5.558819476098692;7.817595950750215
